I1,I2,N1,N2,N3
0.02557,0.02557,0.04218,0.97388,1.0
0.038412,0.038412,0.075019,0.94628,1.0
0.045328,0.045328,0.11369,0.90557,1.0
0.047691,0.047691,0.15586,0.88318,0.99997
0.04805,0.04805,0.20099,0.8914,0.99948
0.04805,0.04805,0.2492,0.91422,0.99905
0.04805,0.04805,0.30064,0.93382,0.99904
0.04805,0.04805,0.34405,0.94528,0.99929
0.04805,0.04805,0.3653,0.95289,0.99975
0.04805,0.04805,0.37325,0.96016,0.99995
0.04805,0.04805,0.37966,0.96548,0.99999
0.04805,0.04805,0.38485,0.96656,1.0
0.04805,0.04805,0.38904,0.9628,1.0
0.047969,0.047969,0.39241,0.94624,1.0
0.047772,0.047772,0.3951,0.90083,1.0
0.047521,0.047521,0.39725,0.8456,1.0
0.047349,0.047349,0.399,0.80244,1.0
0.047357,0.047357,0.40047,0.77947,1.0
0.04752,0.04752,0.40176,0.77227,1.0
0.047748,0.047748,0.40294,0.80081,1.0
0.047955,0.047955,0.40408,0.84189,1.0
0.04805,0.04805,0.4052,0.85192,1.0
0.04805,0.04805,0.40634,0.8564,1.0
0.04805,0.04805,0.40752,0.90887,1.0
0.04805,0.04805,0.40872,0.95646,1.0
0.04805,0.04805,0.40988,0.92637,1.0
0.04805,0.04805,0.41086,0.89068,1.0
0.04805,0.04805,0.41152,0.88237,1.0
0.04805,0.04805,0.41175,0.88162,1.0
1.9982e-05,1.9982e-05,0.0,0.5,1.0
0.00034423,0.00034423,0.0011904,0.97571,1.0
0.0031403,0.0031403,0.0064717,0.97562,1.0
0.012458,0.012458,0.020291,0.97616,1.0
0.02725,0.02725,0.045252,0.96834,1.0
0.039683,0.039683,0.079594,0.93776,1.0
0.045761,0.045761,0.1194,0.8959,1.0
0.0477,0.0477,0.16244,0.87658,0.99998
0.04805,0.04805,0.20835,0.89057,0.99976
0.04805,0.04805,0.25733,0.91832,0.99966
0.04805,0.04805,0.3096,0.93994,0.99977
0.04805,0.04805,0.3653,0.95289,0.99975
0.04805,0.04805,0.4117,0.96359,0.99981
0.04805,0.04805,0.4332,0.9735,0.99993
0.04805,0.04805,0.44008,0.97966,0.99999
0.04805,0.04805,0.44553,0.98073,1.0
0.04805,0.04805,0.44977,0.97605,1.0
0.04805,0.04805,0.45301,0.96065,1.0
0.04801,0.04801,0.4554,0.91892,1.0
0.047865,0.047865,0.45711,0.86327,1.0
0.047615,0.047615,0.45827,0.79301,1.0
0.047387,0.047387,0.45904,0.72625,1.0
0.047314,0.047314,0.45954,0.69167,1.0
0.047417,0.047417,0.4599,0.68241,1.0
0.047661,0.047661,0.46022,0.7267,1.0
0.047908,0.047908,0.46055,0.79001,1.0
0.048027,0.048027,0.46095,0.85222,1.0
0.04805,0.04805,0.4615,0.88009,1.0
0.04805,0.04805,0.46219,0.86527,1.0
0.04805,0.04805,0.46296,0.89913,1.0
0.04805,0.04805,0.46369,0.93573,1.0
0.04805,0.04805,0.46421,0.93374,1.0
